1559227989.353623629 lat lon alt time_of_flight range
1559227989.353735209 deg deg m sec m
1559228570.510980844 37.231470000 -80.423568000 620.00 0.031666 47.50
1559228590.508088827 37.231470000 -80.423568000 620.00 0.022986 34.48
1559228600.506793737 37.231470000 -80.423568000 620.00 0.018024 27.04
1559228620.504234791 37.231470000 -80.423568000 620.00 0.012246 18.37
1559228630.517921448 37.231470000 -80.423568000 620.00 0.014152 21.23
1559228650.515281916 37.231470000 -80.423568000 620.00 0.024548 36.82
1559228660.515274525 37.231470000 -80.423568000 620.00 0.031169 46.75
1559228680.512571573 37.231470000 -80.423568000 620.00 0.044711 67.07
1559228700.509499311 37.231470000 -80.423568000 620.00 0.056991 85.49
1559228720.507345200 37.231470000 -80.423568000 620.00 0.105924 158.89
1559228730.507242918 37.231470000 -80.423568000 620.00 0.066969 100.45
1559228740.505582809 37.231470000 -80.423568000 620.00 0.066926 100.39
1559228750.504599333 37.231470000 -80.423568000 620.00 0.064848 97.27
1559228760.503513813 37.231470000 -80.423568000 620.00 0.061896 92.84
1559228800.498372316 37.231470000 -80.423568000 620.00 0.052082 78.12
1559228810.511352539 37.231470000 -80.423568000 620.00 0.051697 77.55
1559228870.504902124 37.231470000 -80.423568000 620.00 0.042980 64.47
1559228880.503977299 37.231470000 -80.423568000 620.00 0.037136 55.70
1559228890.502339363 37.231470000 -80.423568000 620.00 0.030536 45.80
1559228900.501230955 37.231470000 -80.423568000 620.00 0.025191 37.79
1559228910.500277281 37.231470000 -80.423568000 620.00 0.022744 34.12
1559228920.498589993 37.231470000 -80.423568000 620.00 0.023640 35.46
1559228930.498034000 37.231470000 -80.423568000 620.00 0.028494 42.74
1559228940.496966839 37.231470000 -80.423568000 620.00 0.035798 53.70
